Title,Body,Labels,Assignees
Home — /,"Scope: Draft and finalize content for /. Static-only MVP: manual conflict → emailed LawPay link → questionnaire by email/MyCase. Min words: 1500. DoD: H1 + 40–60 word intro; H2/H3 hierarchy; Primary CTA (Book) + Secondary CTA; internal links; a11y checklist; SEO (title/desc/canonical; schema where applicable). AC: static-only constraints satisfied; content length met; AZ terminology; links verified; CTAs present. See PRD §28–31.","content,phase-1,seo,a11y",
How It Works — /how-it-works/,"Scope: Draft content for /how-it-works/. Min words: 1500. DoD & AC as template; explain manual conflict → payment by email → questionnaire by email/MyCase. See PRD §28–31.","content,phase-1,seo,a11y",
Pricing — /pricing/,"Scope: Draft content for /pricing/. Min words: 1500. DoD & AC as template; reinforce no payment before clearance. See PRD §28–31.","content,phase-1,seo,a11y",
Book — /book/,"Scope: Draft content for /book/. Transactional (≤800–1000). DoD & AC: embed Calendly; reserved space; error fallback; clear manual conflict/pmt messaging. See PRD §28–31.","content,phase-1,seo,a11y",
Contact — /contact/,"Scope: Draft content for /contact/. Min words: 800–1200. DoD & AC as template. See PRD §28–31.","content,phase-1,seo,a11y",
Services — Limited‑Scope — /services/limited-scope/,"Scope: Draft content for LSR. Min words: 1500. DoD & AC as template; scope in/out and pricing language. See PRD §29–31.","content,phase-1,seo,a11y",
Services — Full Representation — /services/full-representation/,"Scope: Draft content for FSR. Min words: 1500. DoD & AC as template; retainer/trust language. See PRD §29–31.","content,phase-1,seo,a11y",
Practice Areas Hub — /practice-areas/,"Scope: Draft content for hub. Min words: 1500 now; 3000 in Phase 2. DoD & AC as template. See PRD §29–31.","content,phase-1,seo,a11y",
Uncontested Divorce — /practice-areas/divorce/uncontested/,"Scope: Draft content for uncontested divorce. Min words: 1500. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
Custody Overview — /practice-areas/custody/,"Scope: Draft content for custody overview. Min words: 1500. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
Child Support — /practice-areas/financial/child-support/,"Scope: Draft content for child support. Min words: 1500. DoD & AC. See PRD §29–31.","content,phase-1,seo,a11y",
